epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2983,1.21694,2.49037,1.33448,0.7948,0.82879,0.86619,0.59587,1.0767,1.17522,1.20879,0.000474235,0.000474235,0.000474235
2,73.6834,1.21075,1.64161,1.27693,0.79765,0.75669,0.84272,0.56763,1.16872,1.05659,1.21134,0.000903515,0.000903515,0.000903515
3,107.53,1.23973,1.49031,1.25482,0.69713,0.81695,0.77781,0.53899,1.12372,1.01873,1.18339,0.00128564,0.00128564,0.00128564
4,140.992,1.23688,1.37552,1.22585,0.62378,0.86748,0.8338,0.55654,1.18003,0.97722,1.21201,0.00121679,0.00121679,0.00121679
5,174.523,1.25355,1.27732,1.2559,0.69137,0.80745,0.78647,0.52665,1.1828,1.01054,1.21005,0.00114606,0.00114606,0.00114606
6,208.079,1.24409,1.24656,1.23534,0.62381,0.81524,0.78571,0.54538,1.11856,1.04122,1.18305,0.00107532,0.00107532,0.00107532
7,241.376,1.23126,1.16161,1.2093,0.70464,0.74403,0.80538,0.56575,1.12445,0.97499,1.17321,0.00100459,0.00100459,0.00100459
8,274.804,1.21919,1.12054,1.20049,0.77983,0.8142,0.85331,0.59096,1.13146,0.87138,1.16591,0.000933851,0.000933851,0.000933851
9,308.354,1.19587,1.09774,1.18852,0.64857,0.84691,0.83009,0.5676,1.14833,0.86837,1.19474,0.000863116,0.000863116,0.000863116
10,341.627,1.19709,1.03243,1.17602,0.76821,0.80686,0.86023,0.59565,1.12698,0.80048,1.18106,0.00079238,0.00079238,0.00079238
11,375.729,1.159,0.8849,1.22519,0.70635,0.76934,0.80442,0.55616,1.13669,0.88898,1.18371,0.000721645,0.000721645,0.000721645
12,409.107,1.14139,0.81398,1.21448,0.77584,0.7872,0.85415,0.58839,1.115,0.8245,1.17134,0.000650909,0.000650909,0.000650909
13,442.504,1.12053,0.79015,1.19037,0.76569,0.78451,0.85833,0.60386,1.10766,0.77567,1.16108,0.000580174,0.000580174,0.000580174
14,475.659,1.10881,0.75732,1.18245,0.82776,0.7598,0.88599,0.61824,1.10973,0.75731,1.16582,0.000509438,0.000509438,0.000509438
15,509,1.09602,0.69965,1.17198,0.76034,0.80376,0.87378,0.61441,1.09957,0.74312,1.15683,0.000438703,0.000438703,0.000438703
16,542.361,1.07704,0.67659,1.15406,0.78822,0.88419,0.89687,0.63367,1.09072,0.72257,1.15274,0.000367967,0.000367967,0.000367967
17,575.619,1.06344,0.63839,1.15229,0.78776,0.8502,0.89579,0.63433,1.08321,0.68881,1.14491,0.000297232,0.000297232,0.000297232
18,609.346,1.04409,0.60318,1.13815,0.79252,0.86869,0.902,0.64804,1.04604,0.69141,1.13273,0.000226497,0.000226497,0.000226497
19,643.171,1.03743,0.58462,1.1383,0.86477,0.82318,0.91889,0.65092,1.07621,0.64632,1.14021,0.000155761,0.000155761,0.000155761
20,676.823,1.03633,0.55897,1.13829,0.82547,0.84453,0.91478,0.64653,1.06236,0.64419,1.13551,8.50255e-05,8.50255e-05,8.50255e-05
