epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9817,1.2065,2.62643,1.33421,0.57461,0.76541,0.5996,0.40524,1.05211,1.81326,1.22497,0.000472155,0.000472155,0.000472155
2,50.2426,1.19686,1.68192,1.28701,0.66004,0.83051,0.79909,0.54481,1.12521,1.36237,1.18954,0.000901538,0.000901538,0.000901538
3,73.4242,1.24248,1.48721,1.26027,0.72898,0.82984,0.82411,0.55952,1.13096,1.01174,1.18961,0.00128376,0.00128376,0.00128376
4,95.0325,1.24898,1.36,1.25105,0.65749,0.80044,0.788,0.53261,1.13951,1.0238,1.19588,0.00121679,0.00121679,0.00121679
5,116.064,1.23589,1.27125,1.22604,0.70148,0.69694,0.77408,0.52781,1.20308,0.98844,1.21019,0.00114606,0.00114606,0.00114606
6,137.993,1.23933,1.20228,1.21559,0.73902,0.77345,0.80457,0.53632,1.21529,0.97314,1.22723,0.00107532,0.00107532,0.00107532
7,159.852,1.20946,1.14238,1.19723,0.79808,0.77963,0.84097,0.57116,1.2088,0.89537,1.20359,0.00100459,0.00100459,0.00100459
8,181.727,1.19522,1.07883,1.18356,0.73669,0.82459,0.81921,0.56269,1.17824,0.89219,1.18202,0.000933851,0.000933851,0.000933851
9,202.926,1.19386,1.06111,1.16446,0.76693,0.84968,0.85582,0.58407,1.19829,0.85987,1.20836,0.000863116,0.000863116,0.000863116
10,224.025,1.18049,1.02236,1.16163,0.83006,0.7851,0.85187,0.59035,1.16331,0.79754,1.19141,0.00079238,0.00079238,0.00079238
11,249.137,1.13747,0.82945,1.20626,0.75817,0.7752,0.87427,0.61647,1.11929,0.77185,1.15023,0.000721645,0.000721645,0.000721645
12,270.972,1.12635,0.7999,1.19403,0.85215,0.77229,0.89155,0.62152,1.11087,0.73794,1.14585,0.000650909,0.000650909,0.000650909
13,294.582,1.11881,0.75131,1.18553,0.85637,0.78087,0.90076,0.64092,1.10888,0.69241,1.15432,0.000580174,0.000580174,0.000580174
14,317.98,1.10235,0.71923,1.17658,0.77271,0.88991,0.90331,0.64404,1.12837,0.69466,1.14918,0.000509438,0.000509438,0.000509438
15,341.739,1.09091,0.66827,1.17361,0.84387,0.87569,0.91871,0.65319,1.11677,0.66584,1.1476,0.000438703,0.000438703,0.000438703
16,365.193,1.07198,0.64942,1.15629,0.76935,0.86989,0.91113,0.64308,1.1304,0.71187,1.15023,0.000367967,0.000367967,0.000367967
17,388.82,1.06485,0.61983,1.15818,0.85665,0.802,0.90624,0.6502,1.11052,0.7367,1.13916,0.000297232,0.000297232,0.000297232
18,412.094,1.0271,0.59038,1.14367,0.8578,0.90081,0.93047,0.66342,1.11766,0.62607,1.14691,0.000226497,0.000226497,0.000226497
19,435.192,1.0259,0.5517,1.12967,0.9056,0.81174,0.93399,0.67038,1.09621,0.62356,1.13223,0.000155761,0.000155761,0.000155761
20,458.795,1.01263,0.53139,1.12268,0.86329,0.89491,0.94078,0.67729,1.09401,0.59937,1.1295,8.50255e-05,8.50255e-05,8.50255e-05
