epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4114,1.18387,2.63623,1.31471,0.75393,0.69835,0.8019,0.54968,1.09334,1.48779,1.22177,0.000472155,0.000472155,0.000472155
2,61.5043,1.1959,1.66479,1.27919,0.74747,0.7773,0.81516,0.55714,1.13519,1.03765,1.1993,0.000939098,0.000939098,0.000939098
3,90.4885,1.23644,1.47371,1.26772,0.55936,0.82033,0.73205,0.4839,1.23286,1.54453,1.26295,0.00139661,0.00139661,0.00139661
4,119.775,1.24851,1.36082,1.25703,0.68789,0.76895,0.83126,0.56498,1.16034,1.02112,1.21416,0.00138656,0.00138656,0.00138656
5,148.711,1.24874,1.27883,1.25045,0.61484,0.78827,0.78429,0.5372,1.19433,1.06759,1.21742,0.00137241,0.00137241,0.00137241
6,177.679,1.25493,1.23083,1.22235,0.75405,0.73057,0.80517,0.5606,1.15284,0.93528,1.20848,0.00135826,0.00135826,0.00135826
7,206.714,1.26318,1.19063,1.21824,0.60467,0.73689,0.75104,0.50578,1.18949,1.02936,1.22745,0.00134412,0.00134412,0.00134412
8,235.699,1.2572,1.13991,1.21244,0.73652,0.73442,0.78361,0.54111,1.15525,0.89591,1.19223,0.00132997,0.00132997,0.00132997
9,264.703,1.2475,1.14738,1.21264,0.6773,0.74663,0.79752,0.54816,1.1718,0.90302,1.22194,0.00131582,0.00131582,0.00131582
10,293.654,1.23627,1.10859,1.20111,0.63357,0.75311,0.73003,0.49314,1.12748,1.08775,1.18748,0.00130168,0.00130168,0.00130168
11,322.641,1.2186,1.0629,1.18475,0.72034,0.84104,0.83632,0.58737,1.10925,0.81063,1.16148,0.00128753,0.00128753,0.00128753
12,351.573,1.24247,1.06584,1.19098,0.73129,0.81058,0.80633,0.54107,1.14222,0.84616,1.18687,0.00127338,0.00127338,0.00127338
13,380.605,1.21036,1.05523,1.1729,0.67258,0.71918,0.78636,0.53792,1.17131,0.9112,1.21545,0.00125923,0.00125923,0.00125923
14,409.559,1.20311,1.02413,1.17082,0.71582,0.75378,0.81272,0.55973,1.13942,0.88391,1.18052,0.00124509,0.00124509,0.00124509
15,438.527,1.19179,1.01333,1.17362,0.62812,0.83579,0.80631,0.56216,1.13619,0.86681,1.18999,0.00123094,0.00123094,0.00123094
16,467.584,1.19506,0.99804,1.16717,0.59147,0.81034,0.76647,0.5161,1.12117,0.88427,1.17627,0.00121679,0.00121679,0.00121679
17,496.626,1.20682,0.97954,1.17227,0.79648,0.76979,0.8608,0.5804,1.1088,0.7632,1.18277,0.00120265,0.00120265,0.00120265
18,525.618,1.2136,0.9897,1.17776,0.64427,0.81161,0.77409,0.52242,1.17847,0.89015,1.21325,0.0011885,0.0011885,0.0011885
19,554.62,1.19367,0.97663,1.16963,0.61712,0.83478,0.77487,0.51973,1.18458,0.84307,1.19814,0.00117435,0.00117435,0.00117435
20,583.485,1.20867,0.97833,1.18214,0.75502,0.79165,0.83433,0.55328,1.14812,0.79008,1.2003,0.00116021,0.00116021,0.00116021
